CodPedido,DtPedido,CodFilial,CodProduto,Qtd,VlUnit
2382,1605642927,7,107,6,94.07
1070,1605641615,15,222,15,51.74
1806,1605642351,12,165,12,23.11
2127,1605642672,14,248,9,47.43
1678,1605642223,12,188,6,6.32
737,1605641282,6,225,2,96.16
2467,1605643012,10,173,6,76.27
1098,1605641643,3,231,1,14.49
2375,1605642920,12,253,5,81.59
1948,1605642493,10,136,5,94.76
2441,1605642986,3,226,13,86.01
1943,1605642488,12,117,7,88.55
1148,1605641693,14,284,8,13.94
1449,1605641994,10,257,15,54.3
1441,1605641986,14,118,9,98.47
2493,1605643038,9,193,2,65.11
1043,1605641588,11,117,3,88.55
933,1605641478,13,251,6,46.53
2028,1605642573,3,115,2,93.41
1469,1605642014,11,257,13,54.3
1025,1605641570,7,114,10,35.49
1978,1605642523,5,286,8,61.54
1943,1605642488,12,287,6,25.14
766,1605641311,15,238,2,32.07
1303,1605641848,2,229,2,57.2
612,1605641157,5,224,5,67.37
1628,1605642173,3,289,11,50.69
2233,1605642778,14,216,11,72.09
946,1605641491,9,173,9,76.27
2302,1605642847,10,293,9,41.14
548,1605641093,12,255,4,80.29
1914,1605642459,5,255,10,80.29
556,1605641101,2,186,6,26.28
564,1605641109,9,189,11,79.93
1754,1605642299,12,267,1,3.62
776,1605641321,3,242,14,10.0
948,1605641493,7,281,2,98.13
655,1605641200,9,234,3,58.85
2439,1605642984,7,256,3,88.88
2264,1605642809,8,162,5,87.37
1123,1605641668,11,236,4,4.15
505,1605641050,9,281,13,98.13
615,1605641160,15,221,8,82.37
1683,1605642228,3,232,4,20.3
1150,1605641695,1,131,14,69.74
2134,1605642679,1,161,13,64.81
1066,1605641611,2,281,9,98.13
786,1605641331,8,195,12,88.73
893,1605641438,12,178,10,62.8
1475,1605642020,1,285,1,68.29
2118,1605642663,6,159,10,56.84
2039,1605642584,5,293,11,41.14
1719,1605642264,15,196,1,46.36
1568,1605642113,9,145,14,48.42
1876,1605642421,4,190,4,21.46
913,1605641458,9,269,6,17.73
2108,1605642653,1,164,5,64.75
1044,1605641589,13,233,5,78.18
1732,1605642277,7,147,11,41.32
804,1605641349,8,255,2,80.29
1595,1605642140,5,157,8,11.97
934,1605641479,14,100,2,67.36
1616,1605642161,10,237,7,86.31
2170,1605642715,5,275,1,76.1
1268,1605641813,14,104,5,33.21
1597,1605642142,6,219,6,30.23
2314,1605642859,1,219,7,30.23
962,1605641507,3,287,8,25.14
954,1605641499,2,139,2,19.72
2373,1605642918,12,270,13,58.67
923,1605641468,6,132,9,26.36
2263,1605642808,5,202,3,24.97
1528,1605642073,12,284,14,13.94
2198,1605642743,12,204,5,11.11
514,1605641059,11,109,12,31.19
2027,1605642572,7,251,12,46.53
1783,1605642328,10,297,6,99.83
580,1605641125,6,275,15,76.1
1421,1605641966,10,299,2,67.38
1410,1605641955,15,160,7,96.85
1297,1605641842,8,148,4,83.12
742,1605641287,1,263,11,65.15
1163,1605641708,3,149,3,95.25
787,1605641332,5,164,15,64.75
1303,1605641848,2,101,15,29.4
1840,1605642385,5,231,5,14.49
1460,1605642005,14,236,11,4.15
1111,1605641656,14,277,2,15.46
1442,1605641987,1,192,5,63.48
1460,1605642005,14,174,14,23.86
1592,1605642137,1,220,7,29.6
1066,1605641611,2,180,12,40.91
863,1605641408,6,207,9,62.27
1393,1605641938,6,154,3,98.64
1991,1605642536,8,252,6,86.99
863,1605641408,6,288,5,72.31
1593,1605642138,14,244,3,10.88
1812,1605642357,2,148,14,83.12
1690,1605642235,9,247,5,82.97
2394,1605642939,7,225,5,96.16
1297,1605641842,8,228,15,9.22
508,1605641053,1,296,8,3.17
1673,1605642218,5,206,14,34.73
1029,1605641574,7,261,8,57.78
2082,1605642627,7,231,14,14.49
1417,1605641962,1,174,6,23.86
783,1605641328,12,146,11,41.88
2140,1605642685,3,149,3,95.25
1448,1605641993,13,105,7,26.88
2160,1605642705,13,203,1,72.99
977,1605641522,6,118,13,98.47
1170,1605641715,10,126,1,36.93
1052,1605641597,9,251,15,46.53
1721,1605642266,15,248,10,47.43
2311,1605642856,1,190,12,21.46
2336,1605642881,6,100,15,67.36
730,1605641275,2,174,14,23.86
915,1605641460,7,115,5,93.41
777,1605641322,6,296,13,3.17
713,1605641258,11,116,12,2.73
1846,1605642391,11,130,14,80.29
1476,1605642021,11,190,1,21.46
1355,1605641900,4,197,15,1.46
698,1605641243,13,200,2,26.98
2130,1605642675,12,240,8,57.45
1738,1605642283,2,220,14,29.6
1596,1605642141,10,231,8,14.49
2465,1605643010,14,112,14,83.76
2252,1605642797,15,217,15,52.3
541,1605641086,6,193,12,65.11
1151,1605641696,15,126,10,36.93
1447,1605641992,8,228,11,9.22
2305,1605642850,7,247,3,82.97
2183,1605642728,13,282,5,53.2
2388,1605642933,5,238,2,32.07
533,1605641078,14,219,7,30.23
1824,1605642369,15,129,3,8.44
1516,1605642061,4,219,8,30.23
1806,1605642351,12,237,4,86.31
1729,1605642274,8,115,10,93.41
1517,1605642062,3,261,4,57.78
566,1605641111,15,172,11,50.62
2423,1605642968,3,263,2,65.15
742,1605641287,1,171,8,52.21
952,1605641497,15,199,8,90.9
515,1605641060,6,265,4,62.12
2000,1605642545,14,153,3,45.14
702,1605641247,14,197,14,1.46
1523,1605642068,4,122,7,7.66
1591,1605642136,5,237,5,86.31
1653,1605642198,7,155,7,72.08
1662,1605642207,15,143,11,83.5
2188,1605642733,1,237,4,86.31
2105,1605642650,6,170,12,54.75
594,1605641139,7,213,4,4.76
749,1605641294,13,235,5,39.59
1453,1605641998,8,127,13,47.03
2091,1605642636,15,162,13,87.37
2454,1605642999,1,294,14,38.03
2374,1605642919,9,258,8,36.18
803,1605641348,4,162,14,87.37
1318,1605641863,14,265,11,62.12
1633,1605642178,5,182,10,85.74
2288,1605642833,7,114,2,35.49
634,1605641179,10,200,2,26.98
930,1605641475,3,168,1,90.76
1948,1605642493,10,119,4,10.54
1068,1605641613,3,201,4,56.63
1891,1605642436,7,169,12,15.28
840,1605641385,10,131,5,69.74
1282,1605641827,14,106,5,86.85
797,1605641342,3,218,10,54.56
1844,1605642389,13,147,7,41.32
816,1605641361,8,215,5,10.14
2046,1605642591,2,213,13,4.76
764,1605641309,5,283,6,49.28
785,1605641330,3,254,2,37.7
1389,1605641934,1,264,11,18.07
871,1605641416,7,111,13,94.61
815,1605641360,7,193,3,65.11
1295,1605641840,15,101,3,29.4
2261,1605642806,6,249,4,83.81
2273,1605642818,13,267,10,3.62
2488,1605643033,1,159,8,56.84
2135,1605642680,9,159,10,56.84
1028,1605641573,9,143,4,83.5
2058,1605642603,7,114,11,35.49
1784,1605642329,10,129,13,8.44
717,1605641262,3,113,1,83.21
1920,1605642465,15,151,10,09.05
1689,1605642234,10,272,15,41.79
532,1605641077,10,246,9,92.86
1602,1605642147,1,221,4,82.37
819,1605641364,3,288,6,72.31
869,1605641414,1,220,3,29.6
2070,1605642615,3,275,15,76.1
779,1605641324,14,107,1,94.07
2409,1605642954,8,223,13,34.09
1191,1605641736,4,209,9,63.47
1183,1605641728,7,265,14,62.12
1821,1605642366,15,272,2,41.79
2031,1605642576,4,104,1,33.21
1014,1605641559,4,230,15,39.81
1819,1605642364,8,199,13,90.9
1589,1605642134,8,241,14,13.68
2163,1605642708,9,221,8,82.37
1978,1605642523,5,164,13,64.75
1719,1605642264,15,138,10,2.22
1893,1605642438,7,219,15,30.23
1450,1605641995,11,120,11,89.62
2266,1605642811,4,257,10,54.3
1406,1605641951,7,220,7,29.6
1990,1605642535,8,277,8,15.46
2013,1605642558,9,229,7,57.2
595,1605641140,14,182,15,85.74
2443,1605642988,6,229,12,57.2
558,1605641103,6,183,2,15.29
1096,1605641641,7,214,15,98.17
912,1605641457,8,279,1,33.25
1089,1605641634,11,239,5,32.92
678,1605641223,4,244,6,10.88
1650,1605642195,2,154,6,98.64
1984,1605642529,7,138,9,2.22
930,1605641475,3,224,3,67.37
2074,1605642619,2,201,13,56.63
1021,1605641566,13,165,8,23.11
1290,1605641835,6,255,14,80.29
1682,1605642227,6,244,1,10.88
1695,1605642240,12,282,7,53.2
1236,1605641781,15,161,7,64.81
820,1605641365,8,173,6,76.27
1804,1605642349,1,148,10,83.12
1890,1605642435,1,200,13,26.98
952,1605641497,15,230,5,39.81
880,1605641425,2,242,11,10.0
1476,1605642021,11,256,7,88.88
2009,1605642554,8,122,3,7.66
717,1605641262,3,187,8,84.99
1318,1605641863,14,128,6,21.96
1097,1605641642,7,276,2,52.66
754,1605641299,6,145,1,48.42
1322,1605641867,6,126,2,36.93
2099,1605642644,13,164,13,64.75
1509,1605642054,6,152,6,22.29
2452,1605642997,15,111,9,94.61
1835,1605642380,1,181,9,97.52
2167,1605642712,9,223,6,34.09
1891,1605642436,7,236,3,4.15
1254,1605641799,10,243,12,51.68
1182,1605641727,11,179,6,10.86
1916,1605642461,9,257,6,54.3
700,1605641245,14,177,3,37.02
2109,1605642654,13,111,15,94.61
1812,1605642357,2,112,8,83.76
593,1605641138,15,142,6,2.58
1929,1605642474,8,133,9,50.47
1522,1605642067,6,168,1,90.76
668,1605641213,14,216,1,72.09
2479,1605643024,7,248,10,47.43
1550,1605642095,9,188,1,6.32
687,1605641232,9,208,7,76.42
897,1605641442,5,116,3,2.73
682,1605641227,5,246,4,92.86
869,1605641414,1,121,13,76.12
1259,1605641804,6,209,8,63.47
2013,1605642558,9,103,1,10.67
666,1605641211,11,162,13,87.37
1400,1605641945,14,281,7,98.13
1286,1605641831,6,152,5,22.29
2278,1605642823,13,179,2,10.86
1201,1605641746,5,103,9,10.67
1753,1605642298,15,130,13,80.29
2397,1605642942,6,258,11,36.18
1985,1605642530,4,208,4,76.42
929,1605641474,9,250,6,90.93
2221,1605642766,3,274,5,89.96
1615,1605642160,10,224,15,67.37
2121,1605642666,11,117,11,88.55
2298,1605642843,3,195,4,88.73
1078,1605641623,15,206,14,34.73
567,1605641112,10,155,13,72.08
1840,1605642385,5,215,1,10.14
2356,1605642901,4,126,11,36.93
502,1605641047,15,290,10,1.71
1674,1605642219,12,140,11,13.47
1985,1605642530,4,248,15,47.43
1795,1605642340,1,122,9,7.66
882,1605641427,1,238,14,32.07
1845,1605642390,11,164,14,64.75
1697,1605642242,11,251,9,46.53
2106,1605642651,9,121,4,76.12
859,1605641404,11,246,10,92.86
1285,1605641830,10,182,3,85.74
631,1605641176,1,169,14,15.28
637,1605641182,2,121,10,76.12
1338,1605641883,4,201,12,56.63
1088,1605641633,5,159,15,56.84
1080,1605641625,4,179,8,10.86
1548,1605642093,4,159,7,56.84
633,1605641178,14,299,6,67.38
891,1605641436,5,276,10,52.66
1841,1605642386,2,217,6,52.3
2049,1605642594,13,120,8,89.62
1391,1605641936,12,292,9,63.87
1335,1605641880,8,133,3,50.47
712,1605641257,9,153,5,45.14
1054,1605641599,2,162,8,87.37
536,1605641081,1,142,10,2.58
1927,1605642472,8,144,11,80.35
2281,1605642826,15,184,4,31.62
1275,1605641820,9,132,9,26.36
1517,1605642062,3,214,9,98.17
1525,1605642070,13,117,6,88.55
1147,1605641692,3,229,11,57.2
1369,1605641914,13,100,13,67.36
761,1605641306,5,225,14,96.16
2072,1605642617,10,207,13,62.27
1460,1605642005,14,150,12,29.78
1955,1605642500,14,185,10,25.05
2126,1605642671,11,238,7,32.07
2012,1605642557,14,210,1,9.34
2021,1605642566,11,104,7,33.21
1378,1605641923,8,130,3,80.29
1523,1605642068,4,229,4,57.2
1299,1605641844,3,244,4,10.88
2325,1605642870,7,141,2,87.55
1260,1605641805,1,160,2,96.85
1312,1605641857,2,179,2,10.86
2471,1605643016,14,182,4,85.74
2360,1605642905,8,220,2,29.6
1038,1605641583,9,234,3,58.85
804,1605641349,8,114,2,35.49
708,1605641253,10,195,9,88.73
769,1605641314,3,244,11,10.88
2207,1605642752,3,137,4,95.73
595,1605641140,14,115,5,93.41
2195,1605642740,3,202,15,24.97
1262,1605641807,6,285,4,68.29
1950,1605642495,5,298,5,45.45
947,1605641492,6,195,5,88.73
896,1605641441,11,148,9,83.12
622,1605641167,9,288,9,72.31
852,1605641397,11,191,9,59.04
1464,1605642009,4,208,12,76.42
1905,1605642450,5,157,7,11.97
2114,1605642659,12,108,5,38.61
845,1605641390,12,282,3,53.2
2149,1605642694,11,147,14,41.32
930,1605641475,3,181,10,97.52
899,1605641444,10,164,12,64.75
516,1605641061,15,259,3,14.61
870,1605641415,8,111,5,94.61
1009,1605641554,2,231,3,14.49
795,1605641340,7,114,12,35.49
1473,1605642018,5,235,9,39.59
1017,1605641562,5,120,15,89.62
1646,1605642191,1,103,2,10.67
1186,1605641731,11,209,9,63.47
999,1605641544,1,253,14,81.59
1907,1605642452,4,179,14,10.86
2276,1605642821,6,266,9,36.33
1785,1605642330,2,242,3,10.0
1632,1605642177,4,140,6,13.47
740,1605641285,2,168,15,90.76
1664,1605642209,1,155,10,72.08
2084,1605642629,10,103,1,10.67
2202,1605642747,10,272,10,41.79
2246,1605642791,5,168,5,90.76
1705,1605642250,7,268,12,71.52
662,1605641207,14,285,15,68.29
1720,1605642265,6,253,11,81.59
1032,1605641577,8,192,5,63.48
1233,1605641778,14,187,8,84.99
1862,1605642407,5,164,11,64.75
1858,1605642403,11,285,5,68.29
536,1605641081,1,145,12,48.42
1455,1605642000,13,145,12,48.42
2446,1605642991,8,256,2,88.88
1388,1605641933,8,226,6,86.01
1934,1605642479,15,261,3,57.78
726,1605641271,9,288,8,72.31
1256,1605641801,10,250,13,90.93
632,1605641177,8,127,6,47.03
1832,1605642377,15,197,14,1.46
892,1605641437,14,180,6,40.91
893,1605641438,12,232,3,20.3
1102,1605641647,10,129,4,8.44
2373,1605642918,12,156,15,9.82
1423,1605641968,1,292,5,63.87
2025,1605642570,15,135,11,98.05
924,1605641469,8,109,3,31.19
2020,1605642565,5,229,4,57.2
1977,1605642522,10,240,2,57.45
2169,1605642714,14,173,3,76.27
1960,1605642505,4,193,6,65.11
1507,1605642052,4,137,14,95.73
2014,1605642559,9,112,13,83.76
1013,1605641558,13,282,9,53.2
521,1605641066,13,122,13,7.66
1899,1605642444,7,240,15,57.45
588,1605641133,10,189,9,79.93
1815,1605642360,4,140,13,13.47
637,1605641182,2,176,4,24.68
1939,1605642484,8,282,7,53.2
2297,1605642842,8,129,4,8.44
2499,1605643044,13,141,7,87.55
1201,1605641746,5,158,5,24.66
2075,1605642620,7,290,13,1.71
1744,1605642289,4,137,13,95.73
1749,1605642294,1,224,14,67.37
2298,1605642843,3,176,4,24.68
858,1605641403,15,216,10,72.09
1763,1605642308,9,127,12,47.03
591,1605641136,3,225,13,96.16
2103,1605642648,14,214,6,98.17
756,1605641301,2,132,8,26.36
2377,1605642922,15,200,5,26.98
2107,1605642652,12,114,7,35.49
1583,1605642128,13,177,7,37.02
1163,1605641708,3,208,9,76.42
1866,1605642411,5,229,11,57.2
2216,1605642761,14,165,10,23.11
645,1605641190,13,122,6,7.66
539,1605641084,6,199,8,90.9
1004,1605641549,9,101,10,29.4
610,1605641155,7,115,10,93.41
1594,1605642139,3,117,1,88.55
954,1605641499,2,211,9,24.33
2305,1605642850,7,201,14,56.63
1469,1605642014,11,185,8,25.05
2101,1605642646,14,162,2,87.37
1225,1605641770,6,269,9,17.73
1560,1605642105,7,274,9,89.96
1388,1605641933,8,221,12,82.37
1690,1605642235,9,222,11,51.74
2070,1605642615,3,203,7,72.99
898,1605641443,14,228,5,9.22
1103,1605641648,15,286,1,61.54
1222,1605641767,9,250,15,90.93
1289,1605641834,14,130,1,80.29
2282,1605642827,13,260,5,86.56
1983,1605642528,11,260,9,86.56
1039,1605641584,5,294,10,38.03
2146,1605642691,14,138,7,2.22
864,1605641409,10,177,5,37.02
1345,1605641890,5,171,7,52.21
928,1605641473,12,124,3,59.16
1386,1605641931,11,186,14,26.28
1257,1605641802,4,148,13,83.12
1547,1605642092,11,181,5,97.52
854,1605641399,4,153,2,45.14
1516,1605642061,4,250,8,90.93
1791,1605642336,11,207,13,62.27
2167,1605642712,9,174,13,23.86
1812,1605642357,2,202,1,24.97
2124,1605642669,14,134,9,34.46
1114,1605641659,2,153,5,45.14
594,1605641139,7,238,12,32.07
972,1605641517,15,173,3,76.27
2010,1605642555,14,142,14,2.58
2217,1605642762,15,250,10,90.93
2300,1605642845,7,200,12,26.98
1196,1605641741,4,298,10,45.45
2133,1605642678,3,184,15,31.62
1031,1605641576,8,299,15,67.38
1834,1605642379,8,150,7,29.78
1583,1605642128,13,221,10,82.37
709,1605641254,3,298,4,45.45
2223,1605642768,1,188,5,6.32
2296,1605642841,14,273,6,20.87
2123,1605642668,10,190,5,21.46
2273,1605642818,13,203,10,72.99
718,1605641263,1,138,5,2.22
885,1605641430,3,220,4,29.6
2365,1605642910,12,176,11,24.68
1412,1605641957,14,247,5,82.97
728,1605641273,7,145,10,48.42
2472,1605643017,14,267,15,3.62
2178,1605642723,5,220,2,29.6
2369,1605642914,5,156,4,9.82
2220,1605642765,8,294,5,38.03
1333,1605641878,14,286,13,61.54
2102,1605642647,4,194,8,54.61
1465,1605642010,5,106,5,86.85
2087,1605642632,10,280,11,21.88
2075,1605642620,7,220,8,29.6
1710,1605642255,10,245,11,75.77
1718,1605642263,13,108,7,38.61
669,1605641214,15,225,9,96.16
590,1605641135,10,236,3,4.15
1322,1605641867,6,261,7,57.78
1845,1605642390,11,129,7,8.44
1521,1605642066,2,279,10,33.25
2051,1605642596,9,215,1,10.14
2348,1605642893,11,291,2,77.41
1855,1605642400,3,273,14,20.87
540,1605641085,12,137,13,95.73
2400,1605642945,2,233,3,78.18
1840,1605642385,5,222,1,51.74
622,1605641167,9,211,2,24.33
956,1605641501,10,119,12,10.54
1756,1605642301,15,220,10,29.6
1830,1605642375,2,175,10,25.09
715,1605641260,11,143,11,83.5
2282,1605642827,13,241,9,13.68
712,1605641257,9,249,4,83.81
553,1605641098,2,178,4,62.8
631,1605641176,1,193,14,65.11
1792,1605642337,3,189,5,79.93
1065,1605641610,2,142,1,2.58
674,1605641219,12,291,6,77.41
1525,1605642070,13,289,4,50.69
1992,1605642537,11,172,12,50.62
782,1605641327,11,293,15,41.14
1976,1605642521,5,104,3,33.21
1848,1605642393,9,133,2,50.47
520,1605641065,15,259,14,14.61
1182,1605641727,11,285,8,68.29
2371,1605642916,11,143,6,83.5
1223,1605641768,5,122,14,7.66
2003,1605642548,4,228,11,9.22
1615,1605642160,10,147,13,41.32
1549,1605642094,10,298,11,45.45
784,1605641329,4,149,14,95.25
1346,1605641891,9,201,9,56.63
1350,1605641895,14,240,13,57.45
2324,1605642869,5,263,12,65.15
1901,1605642446,1,187,14,84.99
1383,1605641928,10,277,3,15.46
2392,1605642937,13,112,14,83.76
528,1605641073,2,167,2,75.87
1167,1605641712,13,289,8,50.69
901,1605641446,11,216,12,72.09
797,1605641342,3,208,6,76.42
1873,1605642418,13,200,7,26.98
1074,1605641619,6,184,10,31.62
2318,1605642863,4,201,15,56.63
2127,1605642672,14,267,9,3.62
1012,1605641557,5,125,9,42.99
1987,1605642532,15,185,2,25.05
792,1605641337,7,289,5,50.69
1147,1605641692,3,104,5,33.21
2212,1605642757,12,174,1,23.86
1761,1605642306,10,182,10,85.74
2367,1605642912,14,298,7,45.45
1577,1605642122,6,179,12,10.86
510,1605641055,13,276,6,52.66
1710,1605642255,10,108,4,38.61
1718,1605642263,13,215,7,10.14
1071,1605641616,12,235,7,39.59
1404,1605641949,2,193,15,65.11
2336,1605642881,6,234,5,58.85
1966,1605642511,9,292,7,63.87
2467,1605643012,10,180,1,40.91
2266,1605642811,4,197,13,1.46
1773,1605642318,15,299,13,67.38
1217,1605641762,10,114,2,35.49
1362,1605641907,4,124,7,59.16
1990,1605642535,8,275,4,76.1
2406,1605642951,2,272,6,41.79
1023,1605641568,4,179,4,10.86
2178,1605642723,5,235,14,39.59
1612,1605642157,2,239,15,32.92
1074,1605641619,6,297,13,99.83
2195,1605642740,3,200,6,26.98
2125,1605642670,9,139,5,19.72
1015,1605641560,3,288,9,72.31
1712,1605642257,3,244,9,10.88
2162,1605642707,14,237,6,86.31
511,1605641056,13,290,11,1.71
1892,1605642437,9,277,14,15.46
2044,1605642589,13,188,14,6.32
2438,1605642983,10,103,7,10.67
2210,1605642755,15,124,14,59.16
1058,1605641603,15,121,13,76.12
1740,1605642285,10,273,7,20.87
1346,1605641891,9,248,2,47.43
725,1605641270,11,155,3,72.08
2415,1605642960,15,228,11,9.22
2220,1605642765,8,152,12,22.29
1998,1605642543,1,190,4,21.46
1778,1605642323,3,176,1,24.68
1509,1605642054,6,183,1,15.29
1188,1605641733,14,239,7,32.92
1145,1605641690,6,224,6,67.37
1841,1605642386,2,143,11,83.5
1995,1605642540,11,189,4,79.93
1179,1605641724,12,160,14,96.85
1318,1605641863,14,298,5,45.45
573,1605641118,10,227,10,15.67
546,1605641091,3,234,1,58.85
1043,1605641588,11,143,9,83.5
1931,1605642476,5,294,15,38.03
1889,1605642434,4,248,4,47.43
949,1605641494,14,236,1,4.15
727,1605641272,3,214,7,98.17
590,1605641135,10,114,6,35.49
1457,1605642002,12,211,7,24.33
539,1605641084,6,112,2,83.76
1747,1605642292,15,116,9,2.73
1710,1605642255,10,129,11,8.44
1869,1605642414,14,277,2,15.46
700,1605641245,14,225,12,96.16
1343,1605641888,12,147,7,41.32
1897,1605642442,10,215,2,10.14
974,1605641519,14,147,5,41.32
2336,1605642881,6,174,14,23.86
672,1605641217,5,272,1,41.79
1241,1605641786,9,160,7,96.85
2339,1605642884,4,260,8,86.56
2325,1605642870,7,189,5,79.93
2230,1605642775,14,234,9,58.85
1577,1605642122,6,131,10,69.74
2380,1605642925,14,166,10,39.75
1458,1605642003,5,227,5,15.67
1021,1605641566,13,104,2,33.21
2393,1605642938,5,240,13,57.45
2431,1605642976,14,207,10,62.27
811,1605641356,4,120,15,89.62
1416,1605641961,9,280,1,21.88
1946,1605642491,11,149,8,95.25
991,1605641536,11,164,4,64.75
953,1605641498,10,193,14,65.11
777,1605641322,6,236,5,4.15
1385,1605641930,7,136,12,94.76
655,1605641200,9,267,15,3.62
1575,1605642120,15,127,13,47.03
720,1605641265,3,142,15,2.58
1843,1605642388,11,174,8,23.86
1309,1605641854,7,242,1,10.0
1056,1605641601,12,215,8,10.14
2177,1605642722,15,104,5,33.21
1961,1605642506,6,226,14,86.01
2209,1605642754,13,241,11,13.68
1150,1605641695,1,226,6,86.01
879,1605641424,13,150,12,29.78
757,1605641302,13,224,7,67.37
698,1605641243,13,238,6,32.07
1030,1605641575,12,275,15,76.1
2466,1605643011,15,248,7,47.43
741,1605641286,13,105,4,26.88
1850,1605642395,5,112,10,83.76
969,1605641514,12,285,9,68.29
1159,1605641704,12,197,12,1.46
743,1605641288,12,176,2,24.68
1434,1605641979,12,138,15,2.22
1523,1605642068,4,265,13,62.12
1963,1605642508,4,226,7,86.01
955,1605641500,7,234,1,58.85
2196,1605642741,5,165,9,23.11
1813,1605642358,12,191,10,59.04
1513,1605642058,6,285,3,68.29
825,1605641370,2,266,14,36.33
1292,1605641837,10,157,5,11.97
815,1605641360,7,106,7,86.85
1004,1605641549,9,203,5,72.99
1974,1605642519,8,294,3,38.03
859,1605641404,11,163,15,87.92
1140,1605641685,13,249,3,83.81
1153,1605641698,6,160,6,96.85
1057,1605641602,6,185,7,25.05
